title,genre,length,year,plot,star,n_vote,box_office,director,cast
Disobedience,"Comedy, Drama",114 min,(2017),"A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.",6.6,"35,915",$3.48M,['Sebastián Lelio'],"['Rachel Weisz', 'Rachel McAdams', 'Alessandro Nivola', 'Anton Lesser']"
May,"Drama, Horror",93 min,(2002),A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.,6.6,"40,356",$0.15M,['Lucky McKee'],"['Angela Bettis', 'Jeremy Sisto', 'Anna Faris', 'James Duval']"
Kill Boksoon,"Action, Thriller",137 min,(2023),A single mother who is a renowned hired killer finds it difficult to achieve a balance between her personal and work life.,6.6,"12,236",N/A,['Byun Sung-hyun'],"['Lee Jae-wook', 'Elyse Dinh', 'Jeon Do-yeon', 'Hwang Jung-min']"
Everybody's Talking About Jamie,"Biography, Comedy, Drama",115 min,(2021),"Feature film adaptation of the musical about a teenager from Sheffield, England who wants to be a drag queen.",6.6,"7,649",N/A,[],"['Max Harwood', 'Lauren Patel', 'Sarah Lancashire', 'Shobna Gulati']"
Freeheld,"Biography, Drama, Romance",103 min,(2015),New Jersey police lieutenant Laurel Hester and her registered domestic partner Stacie Andree battle to secure Hester's pension benefits when she is diagnosed with terminal cancer.,6.6,"13,209",$0.53M,['Peter Sollett'],"['Julianne Moore', 'Elliot Page', 'Steve Carell', 'Michael Shannon']"
Purple Sea,"Drama, History, Romance",105 min,(2009),"Nothing - not her father, not the church - can stop unruly Angela from being with her childhood best friend and great love, Sara in a 19th century Italian village.",6.6,"1,769",N/A,['Donatella Maiorca'],"['Valeria Solarino', 'Isabella Ragonese', 'Ennio Fantastichini', 'Giselda Volodi']"
The World Unseen,"Drama, Romance",93 min,(2007),A drama centered on two women who engage in a dangerous relationship during South Africa's apartheid era.,6.6,"4,666",$0.02M,['Shamim Sarif'],"['Lisa Ray', 'Sheetal Sheth', 'Parvin Dabas', 'Nandana Sen']"
A Home at the End of the World,"Drama, Romance",97 min,(2004),A boy who has experienced many losses in his life grows to manhood and enters into a love triangle with a woman and his boyhood friend.,6.6,"13,985",$1.03M,['Michael Mayer'],"['Colin Farrell', 'Dallas Roberts', 'Robin Wright', 'Sissy Spacek']"
Straight-Jacket,"Comedy, Romance",96 min,(2004),"In 1950's Hollywood, movie star Guy Stone must marry a studio secretary in order to conceal his homosexuality. Sally has no idea her marriage is a sham, though, and turns Guy's life upside-down. Then he falls in love.",6.6,938,$0.05M,['Richard Day'],"['Matt Letscher', 'Carrie Preston', 'Adam Greer', 'Veronica Cartwright']"
Luz,"Crime, Drama, Romance",118 min,(2020),"What began as a friendship turns into a fierce romance in this heart-wrenching drama. LUZ is a story of survival, not only for the lives of both men, but for their relationship as it transitions to the world outside their cell.",6.6,"5,558",N/A,['Jon Garcia'],"['Ernesto Reyes', 'Jesse Tayeh', 'Jimmy Garcia', 'Alma Gloria Garcia']"
Cicada,"Drama, Romance",96 min,(2020),A New York love story that toes the line between narrative and doc with two actors reliving parts of their own experiences.,6.6,"1,089",N/A,[],"['Matthew Fifer', 'Sheldon D. Brown', 'Sandra Bauleo', 'Jazmin Grace Grimaldi']"
The Divide,"Comedy, Drama",98 min,(2021),"Two women on the verge of a breakup, in a hospital, are further stressed on the night of a big demonstration by the overwhelmed staff and by angry, injured protestors who land up besieging the building.",6.6,"1,524",N/A,['Catherine Corsini'],"['Valeria Bruni Tedeschi', 'Marina Foïs', 'Pio Marmaï', 'Aïssatou Diallo Sagna']"
Blue,"Drama, Romance",116 min,(II) (2002),"An introverted schoolgirl falls in love and starts a relationship with one of her classmates. Set in a small seaside town in Japan, the love of her life eventually leaves her for her boyfriend in Tokyo.",6.6,683,N/A,['Hiroshi Ando'],"['Mikako Ichikawa', 'Manami Konishi', 'Asami Imajuku', 'Jun Murakami']"
Så jävla easy going,"Comedy, Drama, Romance",91 min,(2022),"While desperately trying to find ways to get her ADHD medication, 18-year-old Joanna is trying to figure out her newfound feelings towards her classmate Audrey, but also towards herself.",6.6,913,N/A,['Christoffer Sandler'],"['Nikki Hanseblad', 'Melina Benett Paukkonen', 'Emil Algpeus', 'Shanti Roney']"
Valley of a Thousand Hills,Drama,98 min,(2022),"A young woman who comes from a conservative village must choose between living a lie to stay the perfect Zulu daughter, or risk her life for true love. Nosipho has a secret. She is a loving...                See full summary »",6.6,86,N/A,['Bonie Sithebe'],"['Sibongokuhle Nkosi', 'Mandisa Vilakazi']"
Upon Her Lips: Butterflies,Drama,92 min,(2022),"That feeling of apprehension, of doubt - the sensation of butterflies before taking the plunge. Five women and the objects of their affection face up to their futures in these thoroughly modern tales of lesbian love.",6.6,10,N/A,[],"['Chereen Buckley', 'Alexandra Cismondi', 'Tabita Johannes', 'Eva Nürnberg']"
Côte d'Azur,"Comedy, Musical, Romance",96 min,(2005),"For summer vacation, Marc (Melki) and Béatrix (Tedeschi) take their two kids to the seaside house of Marc's youth, where their daughter takes up with a biker and their sons roams the beach with his best friend, who is in love with him. Things get steamier when Béatrix's lover Mathieu shows up, and Marc's old flame appears.",6.6,"2,095",N/A,[],"['Gilbert Melki', 'Valeria Bruni Tedeschi', 'Sabrina Seyvecou', 'Romain Torres']"
Summerland,"Comedy, Drama",80 min,(II) (2020),"Surviving graduation is just the first challenge for Bray, Oliver, and Stacey, three friends determined to make it to the Summerland music festival, no matter what it takes. Embarking on a ...                See full summary »",6.6,95,N/A,['Lankyboy'],"['Maddie Phillips', 'Dylan Playfair', 'Chris Ball', 'Rory J Saper']"
My Mom Is a Character 2,Comedy,88 min,(2016),"After triumphing with her new TV show, Dona Hermínia must deal with the problems of her adult offspring as she realizes that they are leaving home. She must face the struggles of being a ...                See full summary »",6.6,"3,266",N/A,['César Rodrigues'],"['Paulo Gustavo', 'Rodrigo Pandolfo', 'Mariana Xavier', 'Patricya Travassos']"
