title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
Hot Spur,['Western'],91 min,1968,A deranged stablehand kidnaps the wife of a ranch owner to avenge the rape of his sister.,4.5,207,0.0,['Lee Frost'],"['James Arena', 'Virginia Gordon', 'Joseph Mascolo', 'Wes Bishop']",lesbian
Teenage Cocktail,"['Drama', ' Thriller']",88 min,2016,"Feeling confined by their small town and overbearing parents, Annie and Jules hatch a scheme of running away. But as the girls soon find out, consequences can blindside you. Sometimes violently.",5.8,5499,0.0,['John Carchietta'],"['Nichole Sakura', 'Fabianne Therese', 'Pat Healy', 'Michelle Borth']",lesbian
Ahasss,"['Drama', ' Thriller']",107 min,2023,"Jake, a young houseboy, falls for his boss' battered wife. As he helps her escape from her abusive husband, things get wild, messy, and bloody.",4.3,153,0.0,['Ato Bautista'],"['Jao Mapa', 'Gold Aceron', 'Angela Morena', 'Janelle Tee']",lesbian
Pinocchio,"['Comedy', ' Fantasy']",74 min,1971,Dyanne Thorne stars as the fairy godmother in this innocently-sleazy take on the story of Pinocchio.,3.7,233,0.0,['Corey Allen'],"['Alex Roman', 'Monica Gayle', 'Dyanne Thorne', 'Karen Smith']",lesbian
The Love Letter,"['Comedy', ' Drama', ' Romance']",88 min,1999,The life of a provincial town becomes stormy after the appearance of an anonymous love letter.,5.5,4690,8279999.999999999,['Peter Ho-Sun Chan'],"['Kate Capshaw', 'Tom Everett Scott', 'Tom Selleck', 'Blythe Danner']",lesbian
Cut,"['Comedy', ' Horror', ' Mystery']",82 min,2000,"Years after the original director was killed during the filming of a low-budget thriller, a crew of film students set out to finish where she left off. When the filming begins, so too do the killings.",4.4,3765,0.0,['Kimble Rendall'],"['Molly Ringwald', 'Frank Roberts', 'Kylie Minogue', 'Geoff Revell']",lesbian
Amy's Orgasm,"['Comedy', ' Romance']",87 min,2001,"Story of a 29-year-old Ivy League-educated, self-help author as she grudgingly falls for a shock-jock radio host with a reputation for hitting on his bimbo guests.",5.3,1889,510000.0,['Julie Davis'],"['Julie Davis', 'Nick Chinlund', 'Caroline Aaron', 'Mitchell Whitfield']",lesbian
The Bare Wench Project,"['Comedy', ' Horror']",76 min,2000,Four sorority girls with large breasts hike into the wood with their guide Lunk to find out the true story behind the Bare Wench. Then they show off their chests following a mangled version of the Blair Witch storyline.,3.4,1116,0.0,['Jim Wynorski'],"['Nikki Fritz', 'Julie K. Smith', 'Lorissa McComas', 'Antonia Dorian']",lesbian
City of Trees,"['Drama', ' Romance']",87 min,2019,"When a 20-something woman returns to her hometown for the holidays for the first time in several years, not only is she met by people from her past, but she's also forced to deal with unresolved feelings.",6.1,758,0.0,['Alexandra Swarens'],"['Alexandra Swarens', 'Olivia Buckle', 'Kate McIntyre', 'Joseph Miller']",lesbian
The Amateurs,['Comedy'],96 min,2005,"Citizens of a small town, under the influence of a man in the midst of a mid-life crisis, come together to make an adult film.",6.2,6574,20000.0,['Michael Traeger'],"['Jeff Bridges', 'Ted Danson', 'Joe Pantoliano', 'Tim Blake Nelson']",lesbian
"Mary, Mary, Bloody Mary","['Drama', ' Horror', ' Mystery']",91 min,1975,An American artist with a penchant for drinking blood begins seducing and dispatching residents of a small fishing town in Mexico.,5.0,773,0.0,['Juan López Moctezuma'],"['Cristina Ferrare', 'David Young', 'John Carradine', 'Helena Rojo']",lesbian
Straight-Jacket,"['Comedy', ' Romance']",96 min,2004,"In 1950's Hollywood, movie star Guy Stone must marry a studio secretary in order to conceal his homosexuality. Sally has no idea her marriage is a sham, though, and turns Guy's life upside-down. Then he falls in love.",6.6,947,50000.0,['Richard Day'],"['Matt Letscher', 'Carrie Preston', 'Adam Greer', 'Veronica Cartwright']",lesbian
Daughter of Dracula,"['Horror', ' Mystery']",87 min,1972,"Luisa visits her dying mother at Karlstein Castle. Before she dies, she tells Luisa that the Karlsteins are a family of vampires and that her ancestor, the original Count Karlstein, lies buried in the crypt.",4.7,746,0.0,['Jesús Franco'],"['Carmen Yazalde', 'Anne Libert', 'Alberto Dalbés', 'Daniel White']",lesbian
